"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,"Prey of Zooplankton"

year\group,Phytoplankton,Detritus,
2000,0.84197694,0.15802298
2001,0.80359405,0.196406
2002,0.7989728,0.20102721
2003,0.7976217,0.20237823
2004,0.7957556,0.20424439
2005,0.7947092,0.20529081
2006,0.79469734,0.20530267
2007,0.79540366,0.20459628
2008,0.7964812,0.20351882
2009,0.79767627,0.20232372
2010,0.7988475,0.20115252
2011,0.7999492,0.20005073
2012,0.80099225,0.19900768
2013,0.80200344,0.19799657
2014,0.803,0.19700015
2015,0.80398273,0.19601728
2016,0.80494195,0.19505803
2017,0.80586797,0.19413199
2018,0.80675507,0.19324495
2019,0.8076022,0.19239779
2020,0.8084206,0.1915795
2021,0.80919003,0.19081008
2022,0.80986977,0.19013031
2023,0.81046957,0.18953048
2024,0.81101805,0.18898194
2025,0.8115385,0.18846148
2026,0.8120415,0.18795848
2027,0.8125293,0.18747081
2028,0.81299996,0.18700016
2029,0.81345206,0.18654794
2030,0.8138866,0.18611348
2031,0.81430435,0.1856956
2032,0.8147077,0.18529238
2033,0.8150976,0.18490247
2034,0.81547457,0.18452543
2035,0.81583935,0.18416066
2036,0.8161928,0.18380718
2037,0.8165255,0.18347447
2038,0.81682044,0.1831795
2039,0.8170864,0.18291368
2040,0.817349,0.18265091
2041,0.8175178,0.18248218
2042,0.8175443,0.1824557
2043,0.8175655,0.18243457
2044,0.8175506,0.18244947
2045,0.81754583,0.18245412
2046,0.8175245,0.18247546
2047,0.81751937,0.18248068
2048,0.81749934,0.1825007
2049,0.8174917,0.18250833
