"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,"Prey of Whales"

year\group,Cod,Whiting,Mackerel,Anchovy,Benthos,
2000,0.06971421,0.07713581,0.16643406,0.5783273,0.10838863
2001,0.060613126,0.07302054,0.16705328,0.6034089,0.09590422
2002,0.06398076,0.08115712,0.19322544,0.57015747,0.09147922
2003,0.072870396,0.09609776,0.23915581,0.49549314,0.09638291
2004,0.077957705,0.106990516,0.2568329,0.45639476,0.10182413
2005,0.07863662,0.11281383,0.25053468,0.45163712,0.10637772
2006,0.0761765,0.11431009,0.237985,0.46266076,0.10886773
2007,0.07213343,0.11317569,0.22757111,0.47765577,0.10946404
2008,0.067612365,0.11101756,0.22120672,0.49113664,0.10902666
2009,0.063139044,0.1087236,0.21838123,0.5014759,0.10828021
2010,0.058857158,0.106550135,0.21782063,0.5091871,0.107584946
2011,0.05475678,0.10444326,0.21825999,0.515525,0.10701501
2012,0.05079438,0.10227409,0.21884365,0.5215748,0.106513105
2013,0.04693952,0.09995553,0.21918833,0.5279196,0.10599705
2014,0.043195684,0.09747395,0.21925686,0.534663,0.10541043
2015,0.03957774,0.09485683,0.21917231,0.5416556,0.10473753
2016,0.03610007,0.09214044,0.21905975,0.5487122,0.10398757
2017,0.03277605,0.08935424,0.2189833,0.55571014,0.10317627
2018,0.029613113,0.08650994,0.21894999,0.5626108,0.10231613
2019,0.026616395,0.083609164,0.21893048,0.5694334,0.101410516
2020,0.023950504,0.08099092,0.21891262,0.5757125,0.1004335
2021,0.021732898,0.07897619,0.21933962,0.5804232,0.09952817
2022,0.019858437,0.077475555,0.22022702,0.58360535,0.09883366
2023,0.018234182,0.07631481,0.22110812,0.5860108,0.098332055
2024,0.016790556,0.075325735,0.22160232,0.5883369,0.097944565
2025,0.015480406,0.07439173,0.22161202,0.5909204,0.097595446
2026,0.014276491,0.07345746,0.22125448,0.5937714,0.09724018
2027,0.01316252,0.072504394,0.22070955,0.5967581,0.096865386
2028,0.0121276295,0.0715283,0.22011083,0.5997599,0.09647334
2029,0.0111634685,0.070526086,0.21951945,0.60272187,0.09606912
2030,0.010262233,0.06948816,0.21894573,0.6056493,0.095654525
2031,0.009417521,0.06840407,0.21837662,0.60857564,0.095226206
2032,0.008625123,0.06726948,0.21780723,0.61151814,0.09478005
2033,0.007881739,0.06608323,0.21724562,0.61447495,0.094314516
2034,0.0071840775,0.064841904,0.2167015,0.6174428,0.09382979
2035,0.006529419,0.0635425,0.21617514,0.6204281,0.09332485
2036,0.005934723,0.062326226,0.21569242,0.6232479,0.09279866
2037,0.0054249917,0.061446328,0.21549504,0.6253135,0.09232014
2038,0.0049778963,0.060808178,0.21571176,0.62650853,0.09199363
2039,0.004561026,0.060145732,0.21580724,0.6277311,0.09175492
2040,0.004168713,0.059382122,0.21544652,0.62950957,0.09149305
2041,0.0038155569,0.058692854,0.21483408,0.63148874,0.09116878
2042,0.0035131623,0.058300454,0.21458055,0.63270766,0.0908981
2043,0.0032526953,0.05818193,0.21471591,0.6330752,0.09077432
2044,0.0030251874,0.058255244,0.21485545,0.6330964,0.09076769
2045,0.002823593,0.058446366,0.21475971,0.633149,0.090821326
2046,0.0026430201,0.05871066,0.21443343,0.63331026,0.09090263
2047,0.0024801118,0.05902664,0.21398251,0.6335158,0.090994984
2048,0.0023323854,0.059383858,0.21350472,0.6336791,0.091099955
2049,0.0021978216,0.059773535,0.2130437,0.63376945,0.09121544
