"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,"PredationMortality of Benthos"

year\group,Whales,Seals,Cod,Whiting,Shrimp,Benthos,
2000,0.0022691158,0.025345465,0.18771274,0.061065942,0.35791898,1.4473343
2001,0.002138419,0.024383167,0.18451679,0.06312787,0.41454366,1.436639
2002,0.0020502473,0.02448322,0.18749923,0.07153208,0.40899786,1.410304
2003,0.0021581443,0.024806472,0.19305481,0.08210682,0.38960624,1.4115618
2004,0.0022836225,0.025551848,0.19483684,0.08825296,0.37822032,1.4163638
2005,0.0024038025,0.02674167,0.19344915,0.090134196,0.37512133,1.4204445
2006,0.0024985885,0.028337417,0.19041902,0.089649916,0.37680316,1.4220062
2007,0.002563651,0.030118525,0.18672176,0.0882941,0.38024163,1.4214731
2008,0.0026089894,0.03182049,0.18278433,0.086831935,0.38395038,1.4199637
2009,0.002646096,0.033399653,0.17871626,0.08549664,0.38752022,1.4182686
2010,0.0026820458,0.03483344,0.1744961,0.08425521,0.3910577,1.4168226
2011,0.0027192365,0.0361084,0.17008074,0.08300852,0.3947916,1.4157599
2012,0.0027573302,0.037217844,0.16543426,0.081679575,0.3988742,1.4150448
2013,0.0027951412,0.038161274,0.16053264,0.080242224,0.4033711,1.4146113
2014,0.0028316372,0.038944084,0.15537566,0.078713804,0.40826264,1.4143971
2015,0.0028663792,0.039577316,0.14996266,0.0771217,0.4134972,1.4143806
2016,0.0028994195,0.040076822,0.14428627,0.07548599,0.41904107,1.4145637
2017,0.0029310035,0.040461622,0.1383407,0.07381699,0.42487693,1.414946
2018,0.0029613685,0.04075198,0.13211764,0.07211235,0.43099812,1.4155179
2019,0.0029906437,0.04096769,0.1256163,0.0703664,0.43740883,1.4162678
2020,0.0030187268,0.04112636,0.11930122,0.06886699,0.4438454,1.4170694
2021,0.0030468544,0.041238535,0.113570005,0.06780381,0.44941092,1.4176936
2022,0.0030778572,0.04131646,0.108275265,0.06705319,0.4541528,1.418445
2023,0.0031119941,0.041370757,0.103288256,0.066481866,0.45840442,1.4193228
2024,0.0031479707,0.041411523,0.09851989,0.0659894,0.46237376,1.4202832
2025,0.0031842396,0.04144574,0.09390979,0.06551657,0.46619132,1.4212903
2026,0.003219697,0.04147714,0.08942521,0.06503939,0.46991578,1.4223169
2027,0.0032538578,0.04150724,0.08504522,0.064549185,0.47356978,1.4233541
2028,0.003286652,0.041536555,0.08075521,0.06404096,0.4771671,1.4244032
2029,0.0033181543,0.0415653,0.07654494,0.06350901,0.48072052,1.4254671
2030,0.0033484192,0.04159372,0.07240326,0.06294325,0.48424375,1.426547
2031,0.0033774276,0.041622113,0.06832383,0.062335327,0.48775455,1.4276441
2032,0.0034051146,0.0416507,0.064308085,0.061682273,0.49125525,1.4287523
2033,0.0034314618,0.041679595,0.06035943,0.060982708,0.49474218,1.4298702
2034,0.003456496,0.04170878,0.056478936,0.060232196,0.49821278,1.4309968
2035,0.0034802537,0.041738257,0.052670125,0.059427228,0.50167036,1.4321327
2036,0.003502759,0.04176785,0.0490662,0.058696512,0.5050189,1.4332381
2037,0.0035248322,0.041795835,0.0458505,0.058239784,0.507889,1.4342335
2038,0.0035484314,0.0418209,0.04288934,0.057923675,0.5102073,1.4352072
2039,0.0035736158,0.041845378,0.04001207,0.057538018,0.51249284,1.4362923
2040,0.0035979345,0.041871294,0.037221693,0.0570612,0.5148361,1.4373666
2041,0.0036200432,0.041899994,0.03464863,0.056671303,0.51708466,1.4382964
2042,0.0036406564,0.041924253,0.032366823,0.05650863,0.51875407,1.4387051
2043,0.0036626996,0.04194333,0.030325955,0.05652919,0.51998657,1.439089
2044,0.0036862458,0.041958943,0.028485129,0.05667223,0.5209715,1.4395045
2045,0.0037098937,0.04197173,0.026812574,0.0568918,0.52175117,1.439866
2046,0.0037327232,0.041985095,0.025285535,0.05716446,0.5223945,1.4402385
2047,0.003754025,0.041997537,0.023884328,0.057474494,0.5229057,1.4405478
2048,0.0037738278,0.04201064,0.022594152,0.05781423,0.5233255,1.4408649
2049,0.0037920245,0.042022545,0.021401329,0.058173444,0.5236522,1.441131
