"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,"PredationMortality of Anchovy"

year\group,Whales,Cod,Whiting,Mackerel,
2000,0.05547745,0.12577523,0.3680613,0.44930473
2001,0.05651163,0.1369168,0.40163836,0.5160474
2002,0.05821066,0.15171419,0.47683254,0.60215276
2003,0.05623335,0.14000155,0.5166059,0.5997626
2004,0.055589717,0.12955157,0.5303088,0.565945
2005,0.05685137,0.1239058,0.5308481,0.53367966
2006,0.05890587,0.12122909,0.52645,0.5133963
2007,0.06100859,0.119912185,0.52128774,0.5045754
2008,0.06289954,0.11887878,0.5166518,0.5034273
2009,0.06455695,0.11753223,0.5123058,0.5062768
2010,0.06605327,0.11568246,0.5076248,0.51059055
2011,0.06747808,0.11339587,0.5022331,0.5150931
2012,0.06889802,0.110809006,0.49605367,0.5194523
2013,0.070347555,0.108020894,0.48921895,0.52383685
2014,0.071833305,0.10507521,0.48195663,0.52853745
2015,0.073347546,0.10196201,0.47442153,0.5337525
2016,0.07488152,0.098647796,0.46667293,0.53954667
2017,0.076430514,0.095103435,0.45871484,0.5458949
2018,0.07799459,0.091308154,0.45049667,0.55274236
2019,0.079577886,0.08725675,0.4419731,0.56005615
2020,0.0811707,0.08328817,0.43493703,0.5678098
2021,0.0826889,0.07960084,0.43025994,0.57533306
2022,0.08411836,0.07603764,0.42694107,0.581785
2023,0.08550069,0.07256498,0.42428628,0.5868272
2024,0.08687895,0.0691965,0.42191365,0.5906814
2025,0.088273816,0.06593864,0.4196374,0.59383
2026,0.0896827,0.062784836,0.41738486,0.5967143
2027,0.091092296,0.059717357,0.41510037,0.599598
2028,0.092490554,0.056718316,0.41272473,0.60258394
2029,0.09387145,0.05377545,0.41019905,0.60569054
2030,0.09523457,0.050879594,0.40745243,0.6089177
2031,0.09658313,0.04802746,0.40443787,0.61228395
2032,0.09791953,0.0452213,0.40114364,0.6158208
2033,0.09924471,0.04246341,0.39756098,0.61955446
2034,0.10055932,0.039753806,0.393657,0.6234997
2035,0.10186564,0.03709474,0.38940716,0.627671
2036,0.103157796,0.03458179,0.38564304,0.632058
2037,0.10437805,0.032331955,0.38352707,0.63629025
2038,0.105481096,0.030231088,0.38199094,0.6396766
2039,0.10655269,0.02817659,0.3798174,0.6422005
2040,0.10765711,0.026195845,0.37713137,0.6444659
2041,0.10877836,0.02438447,0.37515405,0.6469587
2042,0.10979868,0.02277532,0.37457243,0.6492406
2043,0.11068452,0.021318836,0.37488756,0.65061814
2044,0.111482106,0.019993916,0.37577453,0.65091807
2045,0.11223117,0.018788556,0.37708345,0.6504087
2046,0.112938605,0.017689843,0.378721,0.6494333
2047,0.113594286,0.016684497,0.38061133,0.64823073
2048,0.11418718,0.01576023,0.38268045,0.6469075
2049,0.11471322,0.014907032,0.38486382,0.64550364
