"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,"PredationMortality of Zooplankton"

year\group,Mackerel,Anchovy,Benthos,
2000,0.17060591,5.485168,3.0160978
2001,0.23186232,7.748842,3.882084
2002,0.2537441,7.773638,3.874954
2003,0.2776079,7.100813,3.8880184
2004,0.28427055,6.6518903,3.9166336
2005,0.27816394,6.485064,3.9351633
2006,0.2690777,6.485268,3.9362576
2007,0.26173133,6.552383,3.924073
2008,0.25704828,6.625468,3.9046566
2009,0.25451443,6.6790366,3.8826835
2010,0.2532731,6.7115645,3.8609848
2011,0.25258434,6.731836,3.8406172
2012,0.2520006,6.749035,3.8215144
2013,0.2513554,6.768831,3.8032525
2014,0.25066367,6.7930284,3.785515
2015,0.25000924,6.8211117,3.768288
2016,0.24946506,6.852016,3.7517636
2017,0.24906214,6.8848686,3.7361076
2018,0.24879886,6.919311,3.7214146
2019,0.24865687,6.955427,3.70769
2020,0.24862094,6.9905696,3.6943111
2021,0.24878491,7.0151772,3.6812985
2022,0.24909027,7.027424,3.6697938
2023,0.24930255,7.0316653,3.6596441
2024,0.2492758,7.0332503,3.6503909
2025,0.2490118,7.03569,3.6416645
2026,0.24860112,7.0401607,3.6332948
2027,0.24814253,7.0463696,3.6252425
2028,0.24770112,7.0537143,3.6175387
2029,0.24730329,7.0618234,3.6102104
2030,0.24695128,7.0706496,3.6032465
2031,0.24664098,7.080439,3.596633
2032,0.2463711,7.0913334,3.5903313
2033,0.24614562,7.103344,3.5843227
2034,0.2459683,7.1164317,3.5785964
2035,0.24584,7.130653,3.5731485
2036,0.24576606,7.145016,3.5678403
2037,0.2457928,7.154863,3.5626478
2038,0.2459035,7.157156,3.5579777
2039,0.24591452,7.1578536,3.5539281
2040,0.24573964,7.1617417,3.5499423
2041,0.2456755,7.1734586,3.5483315
2042,0.24589817,7.185583,3.549125
2043,0.24611916,7.1884303,3.549345
2044,0.24629386,7.188107,3.5505264
2045,0.24624765,7.1846027,3.5509498
2046,0.24611239,7.1822267,3.5520458
2047,0.24585406,7.178383,3.5523758
2048,0.24561064,7.175438,3.553315
2049,0.24531883,7.1708145,3.5536153
