"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,ValueFleetGroup

year,fleet,group,value
2007,4,1,0
2007,4,2,0
2007,4,3,0
2007,4,4,0
2007,4,5,0
2007,4,6,0.62893593
2007,4,7,0
2007,4,8,0
2007,4,9,0
2007,4,10,0
2007,4,11,0
2007,5,1,0
2007,5,2,0
2007,5,3,0
2007,5,4,0
2007,5,5,0
2007,5,6,0
2007,5,7,15.331517
2007,5,8,0
2007,5,9,0
2007,5,10,0
2007,5,11,0
2008,1,1,0
2008,1,2,0
2008,1,3,0
2008,1,4,0
2008,1,5,0
2008,1,6,0
2008,1,7,0
2008,1,8,0
2008,1,9,0
2008,1,10,0
2008,1,11,0
2008,2,1,0
2008,2,2,0
2008,2,3,7.408151
2008,2,4,1.8668413
2008,2,5,0
2008,2,6,0
2008,2,7,0
2008,2,8,0
2008,2,9,0
2008,2,10,0
2008,2,11,0
2008,3,1,0
2008,3,2,0
2008,3,3,0
2008,3,4,0
2008,3,5,2.071717
2008,3,6,2.567014
2008,3,7,0
2008,3,8,0
2008,3,9,0
2008,3,10,0
2008,3,11,0
2008,4,1,0
2008,4,2,0
2008,4,3,0
2008,4,4,0
2008,4,5,0
2008,4,6,0.64175344
2008,4,7,0
2008,4,8,0
2008,4,9,0
2008,4,10,0
2008,4,11,0
2008,5,1,0
2008,5,2,0
2008,5,3,0
2008,5,4,0
2008,5,5,0
2008,5,6,0
2008,5,7,15.550983
2008,5,8,0
2008,5,9,0
2008,5,10,0
2008,5,11,0
2009,1,1,0
2009,1,2,0
2009,1,3,0
2009,1,4,0
2009,1,5,0
2009,1,6,0
2009,1,7,0
2009,1,8,0
2009,1,9,0
2009,1,10,0
2009,1,11,0
2009,2,1,0
2009,2,2,0
2009,2,3,7.5528693
2009,2,4,1.9476604
2009,2,5,0
2009,2,6,0
2009,2,7,0
2009,2,8,0
2009,2,9,0
2009,2,10,0
2009,2,11,0
2009,3,1,0
2009,3,2,0
2009,3,3,0
2009,3,4,0
2009,3,5,2.0910175
2009,3,6,2.6115878
2009,3,7,0
2009,3,8,0
2009,3,9,0
2009,3,10,0
2009,3,11,0
2009,4,1,0
2009,4,2,0
2009,4,3,0
2009,4,4,0
2009,4,5,0
2009,4,6,0.6528969
2009,4,7,0
2009,4,8,0
2009,4,9,0
2009,4,10,0
2009,4,11,0
2009,5,1,0
2009,5,2,0
2009,5,3,0
2009,5,4,0
2009,5,5,0
2009,5,6,0
2009,5,7,15.764778
2009,5,8,0
2009,5,9,0
2009,5,10,0
2009,5,11,0
2010,1,1,0
2010,1,2,0
2010,1,3,0
2010,1,4,0
2010,1,5,0
2010,1,6,0
2010,1,7,0
2010,1,8,0
2010,1,9,0
2010,1,10,0
2010,1,11,0
2010,2,1,0
2010,2,2,0
2010,2,3,7.6842675
2010,2,4,2.0310524
2010,2,5,0
2010,2,6,0
2010,2,7,0
2010,2,8,0
2010,2,9,0
2010,2,10,0
2010,2,11,0
2010,3,1,0
2010,3,2,0
2010,3,3,0
2010,3,4,0
2010,3,5,2.1183083
2010,3,6,2.6480634
2010,3,7,0
2010,3,8,0
2010,3,9,0
2010,3,10,0
2010,3,11,0
2010,4,1,0
2010,4,2,0
2010,4,3,0
2010,4,4,0
2010,4,5,0
2010,4,6,0.66201586
2010,4,7,0
2010,4,8,0
2010,4,9,0
2010,4,10,0
2010,4,11,0
2010,5,1,0
2010,5,2,0
2010,5,3,0
2010,5,4,0
2010,5,5,0
2010,5,6,0
2010,5,7,15.982094
2010,5,8,0
2010,5,9,0
2010,5,10,0
2010,5,11,0
2011,1,1,0
2011,1,2,0
2011,1,3,0
2011,1,4,0
2011,1,5,0
2011,1,6,0
2011,1,7,0
2011,1,8,0
2011,1,9,0
2011,1,10,0
2011,1,11,0
2011,2,1,0
2011,2,2,0
2011,2,3,7.7932467
2011,2,4,2.1139424
2011,2,5,0
2011,2,6,0
2011,2,7,0
2011,2,8,0
2011,2,9,0
2011,2,10,0
2011,2,11,0
2011,3,1,0
2011,3,2,0
2011,3,3,0
2011,3,4,0
2011,3,5,2.1466508
2011,3,6,2.6796036
2011,3,7,0
2011,3,8,0
2011,3,9,0
2011,3,10,0
2011,3,11,0
2011,4,1,0
2011,4,2,0
2011,4,3,0
2011,4,4,0
2011,4,5,0
2011,4,6,0.6699009
2011,4,7,0
2011,4,8,0
2011,4,9,0
2011,4,10,0
2011,4,11,0
2011,5,1,0
2011,5,2,0
2011,5,3,0
2011,5,4,0
2011,5,5,0
2011,5,6,0
2011,5,7,16.214445
2011,5,8,0
2011,5,9,0
2011,5,10,0
2011,5,11,0
2012,1,1,0
2012,1,2,0
2012,1,3,0
2012,1,4,0
2012,1,5,0
2012,1,6,0
2012,1,7,0
2012,1,8,0
2012,1,9,0
2012,1,10,0
2012,1,11,0
2012,2,1,0
2012,2,2,0
2012,2,3,7.8854637
2012,2,4,2.1978815
2012,2,5,0
2012,2,6,0
2012,2,7,0
2012,2,8,0
2012,2,9,0
2012,2,10,0
2012,2,11,0
2012,3,1,0
2012,3,2,0
2012,3,3,0
2012,3,4,0
2012,3,5,2.1738703
2012,3,6,2.7098627
2012,3,7,0
2012,3,8,0
2012,3,9,0
2012,3,10,0
2012,3,11,0
2012,4,1,0
2012,4,2,0
2012,4,3,0
2012,4,4,0
2012,4,5,0
2012,4,6,0.6774656
2012,4,7,0
2012,4,8,0
2012,4,9,0
2012,4,10,0
2012,4,11,0
2012,5,1,0
2012,5,2,0
2012,5,3,0
2012,5,4,0
2012,5,5,0
2012,5,6,0
2012,5,7,16.468302
2012,5,8,0
2012,5,9,0
2012,5,10,0
2012,5,11,0
2013,1,1,0
2013,1,2,0
2013,1,3,0
2013,1,4,0
2013,1,5,0
2013,1,6,0
2013,1,7,0
2013,1,8,0
2013,1,9,0
2013,1,10,0
2013,1,11,0
2013,2,1,0
2013,2,2,0
2013,2,3,7.9532857
2013,2,4,2.2815235
2013,2,5,0
2013,2,6,0
2013,2,7,0
2013,2,8,0
2013,2,9,0
2013,2,10,0
2013,2,11,0
2013,3,1,0
2013,3,2,0
2013,3,3,0
2013,3,4,0
2013,3,5,2.2005188
2013,3,6,2.7411737
2013,3,7,0
2013,3,8,0
2013,3,9,0
2013,3,10,0
2013,3,11,0
2013,4,1,0
2013,4,2,0
2013,4,3,0
2013,4,4,0
2013,4,5,0
2013,4,6,0.68529344
2013,4,7,0
2013,4,8,0
2013,4,9,0
2013,4,10,0
2013,4,11,0
2013,5,1,0
2013,5,2,0
2013,5,3,0
2013,5,4,0
2013,5,5,0
2013,5,6,0
2013,5,7,16.745966
2013,5,8,0
2013,5,9,0
2013,5,10,0
2013,5,11,0
2014,1,1,0
2014,1,2,0
2014,1,3,0
2014,1,4,0
2014,1,5,0
2014,1,6,0
2014,1,7,0
2014,1,8,0
2014,1,9,0
2014,1,10,0
2014,1,11,0
2014,2,1,0
2014,2,2,0
2014,2,3,7.9945884
2014,2,4,2.3652987
2014,2,5,0
2014,2,6,0
2014,2,7,0
2014,2,8,0
2014,2,9,0
2014,2,10,0
2014,2,11,0
2014,3,1,0
2014,3,2,0
2014,3,3,0
2014,3,4,0
2014,3,5,2.2279806
2014,3,6,2.7741947
2014,3,7,0
2014,3,8,0
2014,3,9,0
2014,3,10,0
2014,3,11,0
2014,4,1,0
2014,4,2,0
2014,4,3,0
2014,4,4,0
2014,4,5,0
2014,4,6,0.6935487
2014,4,7,0
2014,4,8,0
2014,4,9,0
2014,4,10,0
2014,4,11,0
2014,5,1,0
2014,5,2,0
2014,5,3,0
2014,5,4,0
2014,5,5,0
2014,5,6,0
2014,5,7,17.045622
2014,5,8,0
2014,5,9,0
2014,5,10,0
2014,5,11,0
2015,1,1,0
2015,1,2,0
2015,1,3,0
2015,1,4,0
2015,1,5,0
2015,1,6,0
2015,1,7,0
2015,1,8,0
2015,1,9,0
2015,1,10,0
2015,1,11,0
2015,2,1,0
2015,2,2,0
2015,2,3,8.010332
2015,2,4,2.4506412
2015,2,5,0
2015,2,6,0
2015,2,7,0
2015,2,8,0
2015,2,9,0
2015,2,10,0
2015,2,11,0
2015,3,1,0
2015,3,2,0
2015,3,3,0
2015,3,4,0
2015,3,5,2.2573059
2015,3,6,2.8085387
2015,3,7,0
2015,3,8,0
2015,3,9,0
2015,3,10,0
2015,3,11,0
2015,4,1,0
2015,4,2,0
2015,4,3,0
2015,4,4,0
2015,4,5,0
2015,4,6,0.7021346
2015,4,7,0
2015,4,8,0
2015,4,9,0
2015,4,10,0
2015,4,11,0
2015,5,1,0
2015,5,2,0
2015,5,3,0
2015,5,4,0
2015,5,5,0
2015,5,6,0
2015,5,7,17.36477
2015,5,8,0
2015,5,9,0
2015,5,10,0
2015,5,11,0
2016,1,1,0
2016,1,2,0
2016,1,3,0
2016,1,4,0
2016,1,5,0
2016,1,6,0
2016,1,7,0
2016,1,8,0
2016,1,9,0
2016,1,10,0
2016,1,11,0
2016,2,1,0
2016,2,2,0
2016,2,3,7.9965844
2016,2,4,2.5374146
2016,2,5,0
2016,2,6,0
2016,2,7,0
2016,2,8,0
2016,2,9,0
2016,2,10,0
2016,2,11,0
2016,3,1,0
2016,3,2,0
2016,3,3,0
2016,3,4,0
2016,3,5,2.2888904
2016,3,6,2.8435602
2016,3,7,0
2016,3,8,0
2016,3,9,0
2016,3,10,0
2016,3,11,0
2016,4,1,0
2016,4,2,0
2016,4,3,0
2016,4,4,0
2016,4,5,0
2016,4,6,0.71089
2016,4,7,0
2016,4,8,0
2016,4,9,0
2016,4,10,0
2016,4,11,0
2016,5,1,0
2016,5,2,0
2016,5,3,0
2016,5,4,0
2016,5,5,0
2016,5,6,0
