"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Zooplankton

Step,61
Year,5.083313
-9999,13.748271942138672,14.395600318908691,15.522762298583984,16.310104370117188,16.783084869384766,17.075166702270508,17.26784896850586,17.38218116760254,17.44530487060547,17.47439193725586,17.49903678894043,17.523136138916016,17.550382614135742,17.57256317138672,17.57887840270996,17.554698944091797,17.435420989990234,-9999,-9999
-9999,14.448016166687012,15.04741096496582,16.029293060302734,16.695022583007812,17.07190704345703,17.27068519592285,17.381193161010742,17.434898376464844,17.459190368652344,17.46228790283203,17.486909866333008,17.527780532836914,17.578548431396484,17.612855911254883,17.644643783569336,17.66791534423828,17.7248477935791,-9999,-9999
-9999,14.898330688476562,15.524514198303223,16.341115951538086,16.91311264038086,17.248035430908203,17.39295768737793,17.461061477661133,17.479530334472656,17.4770565032959,17.480070114135742,17.50201416015625,17.54025650024414,17.58634376525879,17.625972747802734,17.661163330078125,17.688344955444336,17.70592498779297,17.644054412841797,17.650848388671875
-9999,-9999,16.044002532958984,16.573862075805664,17.046972274780273,17.339202880859375,17.471078872680664,17.52158546447754,17.520912170410156,17.51761245727539,17.51482391357422,17.529359817504883,17.556188583374023,17.598947525024414,17.632007598876953,17.6540470123291,17.677297592163086,17.68754005432129,17.675891876220703,17.647069931030273
-9999,-9999,16.44761085510254,16.776874542236328,17.14892578125,17.41029930114746,17.538965225219727,17.58780860900879,17.584659576416016,17.571880340576172,17.554344177246094,17.562694549560547,17.585607528686523,17.619680404663086,17.639293670654297,17.64918327331543,17.661996841430664,17.663888931274414,17.6332950592041,17.615489959716797
-9999,-9999,-9999,16.918781280517578,17.204158782958984,17.436986923217773,17.56621551513672,17.614221572875977,17.604684829711914,17.586515426635742,17.5695743560791,17.56671905517578,17.588319778442383,17.61949920654297,17.640058517456055,17.639812469482422,17.656103134155273,17.632692337036133,17.609994888305664,17.59909439086914

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.39739990234375,13.400930404663086,-9999,-9999,13.170415878295898,13.237399101257324,-9999,-9999,-9999
-9999,-9999,-9999,-9999,13.208452224731445,13.191561698913574,13.151302337646484,13.16780948638916,13.212900161743164,13.243678092956543,13.35757827758789,13.334853172302246,13.269519805908203,13.217218399047852,13.202903747558594,13.182121276855469,13.2196683883667,13.268879890441895,-9999,-9999
