"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Whales

Step,61
Year,5.083313
-9999,0.017720626667141914,0.03757844865322113,0.09421959519386292,0.11262217164039612,0.11151144653558731,0.11023345589637756,0.10910139977931976,0.10817014425992966,0.10745689272880554,0.10694465041160583,0.10661549866199493,0.10644345730543137,0.10641169548034668,0.10651340335607529,0.10673172026872635,0.10701657831668854,0.07416760176420212,0.01684499904513359,-9999
-9999,0.01753992773592472,0.07708469033241272,0.11116993427276611,0.11033027619123459,0.10900455713272095,0.1076778694987297,0.10651475936174393,0.1055508479475975,0.10478977859020233,0.10421702265739441,0.10382620990276337,0.10360107570886612,0.10352515429258347,0.10358300805091858,0.10375139862298965,0.10397812724113464,0.07203206419944763,0.01636597327888012,-9999
-9999,0.01729249581694603,0.07593906670808792,0.10914178192615509,0.10800634324550629,0.10653777420520782,0.10518281161785126,0.10400290787220001,0.1030120998620987,0.10220833867788315,0.10158345848321915,0.10113923996686935,0.10086611658334732,0.10074824839830399,0.1007709950208664,0.1009145975112915,0.10113135725259781,0.07005627453327179,0.01590922847390175,-9999
-9999,0.016990473493933678,0.07452138513326645,0.1068967804312706,0.10560549050569534,0.10411479324102402,0.10276126861572266,0.10157691687345505,0.10056473314762115,0.09972506761550903,0.09905572980642319,0.0985645204782486,0.09824632108211517,0.09808553010225296,0.09807693958282471,0.0982234925031662,0.09849967062473297,0.06831234693527222,0.015511560253798962,-9999
-9999,0.01665516011416912,0.07296380400657654,0.1045231968164444,0.10317064076662064,0.10174865275621414,0.10043193399906158,0.0992569774389267,0.09823201596736908,0.09736461192369461,0.09665476530790329,0.09611514210700989,0.09574165940284729,0.09552358835935593,0.09547047317028046,0.09562023729085922,0.09607662260532379,0.0668945163488388,0.015191157348453999,-9999
-9999,0.016311021521687508,0.07137994468212128,0.10215074568986893,0.1008361354470253,0.09949632734060287,0.09822984039783478,0.09707561135292053,0.0960494801402092,0.09516765922307968,0.0944271981716156,0.09383495897054672,0.09338924288749695,0.09308493137359619,0.09293552488088608,0.09297633171081543,0.07733092457056046,0.03125216066837311,0.014953402802348137,-9999
-9999,0.015988212078809738,0.06990701705217361,0.09992799162864685,0.09867266565561295,0.09740250557661057,0.09619069844484329,0.0950704962015152,0.09406591206789017,0.09318366646766663,0.09241918474435806,0.09177327901124954,0.09124322980642319,0.09082852303981781,0.09053919464349747,0.09038776159286499,0.06243005394935608,0.014151204377412796,-9999,-9999
-9999,0.015720773488283157,0.06832808256149292,0.0979713648557663,0.09669692814350128,0.09549424052238464,0.09434998780488968,0.09328742325305939,0.0923193171620369,0.09145072102546692,0.09067291766405106,0.08998004347085953,0.08936722576618195,0.08883396536111832,0.08838809281587601,0.08803404867649078,0.06023614853620529,0.013630307279527187,-9999,-9999
-9999,0.015532724559307098,0.03235526755452156,0.0795343741774559,0.09485029429197311,0.09379477053880692,0.09275518357753754,0.09176559746265411,0.09084556251764297,0.08999970555305481,0.08921461552381516,0.08848412334918976,0.08780080080032349,0.08716047555208206,0.08655904978513718,0.08597300201654434,0.07060758024454117,0.027757925912737846,0.012791692279279232,0.01266175601631403
-9999,-9999,0.014909381978213787,0.06482686847448349,0.09333150833845139,0.09238837659358978,0.09145957976579666,0.09054983407258987,0.0896817147731781,0.08886021375656128,0.08807462453842163,0.08731909841299057,0.08658509701490402,0.08586480468511581,0.08514510840177536,0.08437950909137726,0.08344116806983948,0.06835256516933441,0.05602967366576195,0.05567939952015877
