"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Sealers

Step,61
Year,5.083313
-9999,0.39564377069473267,0.343694806098938,0.23905928432941437,0.1426614373922348,0.07374053448438644,0.036091823130846024,0.0165285374969244,0.006530103273689747,0.002227090997621417,0.0021066043991595507,0.004672987386584282,0.01456298679113388,0.0384555421769619,0.0871870145201683,0.17048205435276031,0.28876104950904846,0.4209784269332886,0.49663200974464417,0.4980678856372833
-9999,-9999,0.4103788435459137,0.2734842896461487,0.1775924265384674,0.10943305492401123,0.057524945586919785,0.02607572451233864,0.010129522532224655,0.003442770102992654,0.0020839523058384657,0.0036346118431538343,0.01130818109959364,0.029773615300655365,0.06667271256446838,0.12847667932510376,0.21122877299785614,0.2924789488315582,0.32916927337646484,0.3295310139656067
-9999,-9999,0.4150909185409546,0.35852205753326416,0.24890434741973877,0.14837859570980072,0.07662785053253174,0.034209609031677246,0.013205417431890965,0.004449621308594942,0.0021197933237999678,0.002380696125328541,0.007375888526439667,0.019197342917323112,0.04271993786096573,0.08040019124746323,0.12931780517101288,0.173547625541687,0.19170531630516052,0.1917010396718979
-9999,-9999,-9999,0.4241114854812622,0.2819391191005707,0.16526323556900024,0.08455763012170792,0.03755206987261772,0.01444477029144764,0.004871061071753502,0.00213302462361753,0.002178919967263937,0.004059877712279558,0.010415923781692982,0.02293607033789158,0.04246474429965019,0.06710410863161087,0.08812963962554932,0.09686651825904846,0.09681309014558792

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
