"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Seals

Step,61
Year,5.083313
-9999,0.10252043604850769,0.0810965821146965,0.05492900311946869,0.03183242306113243,0.015775851905345917,0.007816899567842484,0.0033367853611707687,0.0012364417780190706,0.0012318136868998408,0.0012666196562349796,0.0012901972513645887,0.0027921858709305525,0.007833844982087612,0.01860862411558628,0.03760819882154465,0.06481583416461945,0.0954655110836029,0.12045995146036148,-9999
-9999,0.10433180630207062,0.08262816071510315,0.05608021095395088,0.03257979080080986,0.016185816377401352,0.006877826526761055,0.0025161264929920435,0.0012339429231360555,0.0012844364391639829,0.0013230418553575873,0.0014235321432352066,0.004055848810821772,0.00962059386074543,0.019297711551189423,0.03891337662935257,0.06695164740085602,0.09844768047332764,0.12403959035873413,-9999
-9999,0.10645779222249985,0.08438201248645782,0.05735272169113159,0.03337302803993225,0.016718396916985512,0.0071289679035544395,0.0026191379874944687,0.0012746891006827354,0.001328200101852417,0.0013701473362743855,0.0021998516749590635,0.006246794946491718,0.01477439422160387,0.02989359013736248,0.051271550357341766,0.07491428405046463,0.10128121823072433,0.1271585375070572,-9999
-9999,0.10876106470823288,0.08626926690340042,0.05893438309431076,0.03437582775950432,0.017146704718470573,0.007318461779505014,0.0026884442195296288,0.0013074495363980532,0.001362441573292017,0.0014055621577426791,0.0028622017707675695,0.008111495524644852,0.01928320899605751,0.038898419588804245,0.06674901396036148,0.09776950627565384,0.1222270131111145,0.12939542531967163,-9999
-9999,0.11103963851928711,0.08816125988960266,0.06029098853468895,0.03519928827881813,0.017577124759554863,0.008788248524069786,0.0037835687398910522,0.0014038553927093744,0.0013874552678316832,0.0014313641004264355,0.0031669584568589926,0.008934129029512405,0.021257204934954643,0.04295480623841286,0.07392897456884384,0.108322873711586,0.13638871908187866,-9999,-9999
-9999,0.11305142939090729,0.09019801765680313,0.06658503413200378,0.045677702873945236,0.026750808581709862,0.013429869897663593,0.005737493745982647,0.002297972561791539,0.0014032140607014298,0.0014494418865069747,0.003207187168300152,0.009054337628185749,0.021565629169344902,0.0436396524310112,0.07524848729372025,0.11082427203655243,0.13957054913043976,-9999,-9999
-9999,0.11448510736227036,0.10764377564191818,0.08612918108701706,0.058961957693099976,0.03452974185347557,0.018712997436523438,0.009353788569569588,0.004022579174488783,0.00148741714656353,0.0014610221842303872,0.002976112999022007,0.008452686481177807,0.020158512517809868,0.04083965718746185,0.07048897445201874,0.10408937931060791,0.13193321228027344,0.14386166632175446,0.14427976310253143
-9999,-9999,0.11874525249004364,0.0948241800069809,0.07001832127571106,0.04800351336598396,0.028081120923161507,0.014088760130107403,0.006016476545482874,0.002232854487374425,0.0014669494703412056,0.0023582701105624437,0.0067201335914433,0.016095677390694618,0.03256470710039139,0.056388009339571,0.08332385867834091,0.10546983778476715,0.11426488310098648,0.11439099907875061
-9999,-9999,0.12010584771633148,0.11227825284004211,0.08965879678726196,0.06130720302462578,0.03586895018815994,0.01792059652507305,0.007659698370844126,0.0028322776779532433,0.0014696437865495682,0.0015904783504083753,0.004545541014522314,0.010869031772017479,0.0221592728048563,0.038226138800382614,0.056778375059366226,0.07180564105510712,0.07754656672477722,0.07754480838775635
-9999,-9999,-9999,0.12269452214241028,0.0977221131324768,0.06673599779605865,0.03897903487086296,0.019456155598163605,0.008309198543429375,0.0030803862027823925,0.0014710384421050549,0.0015114597044885159,0.0026190392673015594,0.00623915484175086,0.01276162639260292,0.022035008296370506,0.032798733562231064,0.041320886462926865,0.0447395034134388,0.04471556469798088

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1009005457162857,0.10097533464431763,-9999,-9999,0.10216094553470612,0.10225978493690491,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.10028883814811707,0.10032594203948975,0.10042332857847214,0.10056959837675095,0.10075163841247559,0.10094767808914185,0.10112432390451431,0.09358347952365875,0.09380882978439331,0.10198044776916504,0.10232570767402649,0.09480664879083633,0.0951022207736969,0.10332773625850677,-9999,-9999
-9999,-9999,-9999,0.10065314918756485,0.09297764301300049,0.07917147129774094,0.07925993204116821,0.07939867675304413,0.07957585155963898,0.07977427542209625,0.07997789978981018,0.07410075515508652,0.07433426380157471,0.08076532930135727,0.08108086884021759,0.0752602219581604,0.0818251520395279,0.10427239537239075,-9999,-9999
-9999,-9999,-9999,0.1010226309299469,0.07952529191970825,0.05792961269617081,0.053475331515073776,0.05360349267721176,0.05377107858657837,0.05396432429552078,0.05416826158761978,0.050306081771850586,0.05051499232649803,0.05486758425831795,0.05516010522842407,0.055546779185533524,0.08320671319961548,0.10599850863218307,-9999,-9999
