"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Cod

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.006507250014692545,0.00627836724743247,-9999,-9999,0.004941722843796015,0.0043254089541733265,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.005751272197812796,0.0067700487561523914,0.008870383724570274,0.011040175333619118,0.01282185036689043,0.014129679650068283,0.011893292888998985,0.010125462897121906,0.010106166824698448,0.010336569510400295,0.008456986397504807,0.006273974664509296,0.0050733149982988834,0.004511719103902578,-9999,-9999
-9999,-9999,-9999,0.005437911953777075,0.006334560923278332,0.007835718803107738,0.010412435047328472,0.01355708483606577,0.01750664785504341,0.02135893516242504,0.02415693923830986,0.024201616644859314,0.023423803970217705,0.019881146028637886,0.015164497308433056,0.010562754236161709,0.007661725860089064,0.006365632638335228,-9999,-9999
-9999,-9999,-9999,0.005832411348819733,0.007087368052452803,0.010088774375617504,0.014745748601853848,0.021579274907708168,0.03197081387042999,0.04848768934607506,0.06765855848789215,0.07823078334331512,0.07403448224067688,0.05534297600388527,0.037306394428014755,0.022844843566417694,0.014793859794735909,0.013030488975346088,-9999,-9999
-9999,-9999,0.004818710498511791,0.00616067461669445,0.00863625854253769,0.013498124666512012,0.02141817845404148,0.03474380448460579,0.061124395579099655,0.10617987811565399,0.167758509516716,0.20497740805149078,0.20003408193588257,0.14823728799819946,0.09136111289262772,0.05272846296429634,0.032246485352516174,0.025761833414435387,0.022824205458164215,-9999
-9999,-9999,0.0053688776679337025,0.006978364661335945,0.011447369121015072,0.0199945829808712,0.03409610688686371,0.06048664078116417,0.11242088675498962,0.20181626081466675,0.31955036520957947,0.40271469950675964,0.4021199643611908,0.3177729547023773,0,0.12255723774433136,0.07332069426774979,0.049691736698150635,0.041907623410224915,-9999
-9999,-9999,0.007160161156207323,0.010226795449852943,0.018633397296071053,0.03456169739365578,0.06377746164798737,0.11601953208446503,0.20291942358016968,0.33472248911857605,0.4772663712501526,0.5872569680213928,0.6042360067367554,0.5227375626564026,0.38863033056259155,0.25451964139938354,0.1619311422109604,0.10882453620433807,0.09044235199689865,-9999
-9999,0.007836426608264446,0.010866175405681133,0.017930570989847183,0.03650670871138573,0.07344464212656021,0.13600163161754608,0.23855683207511902,0.3770816922187805,0.5324459075927734,0.6655214428901672,0.7632319331169128,0.8028742671012878,0.7530315518379211,0.6393291354179382,0,0.3268221616744995,0.22923769056797028,0.19237558543682098,-9999
-9999,0.012100117281079292,0.017742978408932686,0.035807717591524124,0.07810550928115845,0.15910013020038605,0.2905717194080353,0.4736359417438507,0.667116641998291,0.8208984732627869,0.9151625037193298,0.9861223101615906,1.026065707206726,1.0190708637237549,0.9411255717277527,0,0.5973876118659973,0.4496385455131531,0.390095978975296,-9999
-9999,0.024111533537507057,0.03576233237981796,0.07219076156616211,0.14983391761779785,0.29138946533203125,0.5139221549034119,0.7873778343200684,1.0098391771316528,1.139987826347351,1.2088420391082764,1.2630972862243652,1.3170039653778076,1.3326878547668457,1.2861512899398804,1.1714280843734741,0.9804426431655884,0.7999135851860046,0.7192102670669556,-9999
-9999,0.05501450225710869,0.07762158662080765,0.14636552333831787,0.2735656797885895,0.4767211377620697,0.7675285339355469,1.0708438158035278,1.262021780014038,1.344849944114685,1.3872648477554321,1.449260950088501,0,0,1.571084976196289,0,1.3786541223526,1.2200359106063843,1.137569785118103,-9999
-9999,0.1294599324464798,0.17654302716255188,0.30395057797431946,0.4877844452857971,0.7356434464454651,1.0288670063018799,1.2766412496566772,1.3732335567474365,1.3701434135437012,1.3616013526916504,1.3918869495391846,0,0,0,1.5171029567718506,1.5166743993759155,1.4806346893310547,1.4222851991653442,-9999
-9999,0.276808500289917,0.36141809821128845,0.5689306259155273,0.8159468173980713,1.0629639625549316,1.2754669189453125,1.3856260776519775,1.3662216663360596,1.2935527563095093,1.2306978702545166,1.1963064670562744,0,0,0,1.1419185400009155,1.2324494123458862,1.391561508178711,1.4034287929534912,-9999
-9999,0.4705159068107605,0.5892349481582642,0.8689705729484558,1.1424109935760498,1.31963312625885,1.3958253860473633,1.3735532760620117,1.2852072715759277,1.183618426322937,1.097790002822876,1.0028446912765503,0.9066246747970581,0.8139074444770813,0,0,0.7382726073265076,0.9234465956687927,-9999,-9999
-9999,0.6269116997718811,0.7701193690299988,1.0781311988830566,1.3130751848220825,1.3905634880065918,1.3565665483474731,1.2642993927001953,1.16804838180542,1.079453945159912,0,0,0,0.5817949771881104,0,0,0.36299437284469604,0,-9999,-9999
-9999,0.7533692717552185,0.9095664024353027,1.1896928548812866,1.3641166687011719,1.3431572914123535,1.2303948402404785,1.1029200553894043,1.0120123624801636,0,0,0,0,0.4238852262496948,0.318781316280365,0.24221333861351013,0.1894318163394928,0.14637044072151184,0,0
-9999,-9999,1.0508065223693848,1.2554212808609009,1.3632094860076904,1.2622339725494385,1.0826482772827148,0.9317164421081543,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,1.2136526107788086,1.3120813369750977,1.3374398946762085,1.163828730583191,0.9321508407592773,0.7573375105857849,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,-9999,1.3298882246017456,1.3169405460357666,1.1148931980133057,0.8582165241241455,0.6762023568153381,0,0,0,0,0,0,0,0,0,0,0,0

Step,85
Year,7.0833054
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.006856717634946108,0.006615735124796629,-9999,-9999,0.005218539386987686,0.004567688796669245,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.0060858228243887424,0.007161018438637257,0.009374763816595078,0.011649093590676785,0.013504508882761002,0.014859459362924099,0.012499204836785793,0.01064494252204895,0.010625087656080723,0.010865583084523678,0.008898064494132996,0.006612901575863361,0.005351202562451363,0.004758402239531279,-9999,-9999
-9999,-9999,-9999,0.0057549625635147095,0.006702281069010496,0.008284461684525013,0.010992011986672878,0.014282048679888248,0.01840135268867016,0.02241051010787487,0.025316689163446426,0.025352057069540024,0.02453792281448841,0.020837267860770226,0.01591157168149948,0.011098460294306278,0.008058397099375725,0.006697661243379116,-9999,-9999
-9999,-9999,-9999,0.006169989705085754,0.007492294535040855,0.010647861286997795,0.015526891686022282,0.02266325056552887,0.03349338471889496,0.05068612098693848,0.07062206417322159,0.08160232752561569,0.07722901552915573,0.05777262523770332,0.038992252200841904,0.023905890062451363,0.01549563743174076,0.01365208625793457,-9999,-9999
-9999,-9999,0.005090407095849514,0.006506756879389286,0.009108688682317734,0.014203809201717377,0.022475648671388626,0.036357831209897995,0.06378710269927979,0.1105591431260109,0.17441464960575104,0.21297575533390045,0.20786580443382263,0.15417157113552094,0.09514792263507843,0.054968468844890594,0.033636126667261124,0.026868212968111038,0.023774132132530212,-9999
-9999,-9999,0.005658494308590889,0.007348599843680859,0.012030038982629776,0.020953498780727386,0.035628076642751694,0.06301876157522202,0.11682514101266861,0.20929314196109772,0.3309403359889984,0.41685950756073,0.41635724902153015,0.32937344908714294,0,0.12734656035900116,0.07620973140001297,0.05164895951747894,0.043543629348278046,-9999
-9999,-9999,0.007515036500990391,0.01072175893932581,0.019489798694849014,0.03604472056031227,0.06631582975387573,0.12030968815088272,0.20994903147220612,0.3457534611225128,0.492538183927536,0.6059098839759827,0.6236869096755981,0.5401124954223633,0.40214642882347107,0.2636950612068176,0.16780617833137512,0.11275368183851242,0.0936845913529396,-9999
-9999,0.008171528577804565,0.01134445983916521,0.018701301887631416,0.03798212856054306,0.07620180398225784,0.1407267451286316,0.2462494969367981,0.3885367512702942,0.5480213165283203,0.684699296951294,0.785368025302887,0.8267139792442322,0.7762259840965271,0.6600139141082764,0,0.3378532826900482,0.23683962225914001,0.19867251813411713,-9999
-9999,0.012575848959386349,0.01843668706715107,0.03715559467673302,0.08086862415075302,0.1643192023038864,0.29937466979026794,0.4869946539402008,0.6850230097770691,0.8424689173698425,0.939335286617279,1.0129106044769287,1.055120825767517,1.049123764038086,0.9700568914413452,0,0.6160998344421387,0.46331164240837097,0.40173211693763733,-9999
-9999,0.024950603023171425,0.03698733076453209,0.0745757594704628,0.1545030027627945,0.29982760548591614,0.5276905298233032,0.8071809411048889,1.0343915224075317,1.1677097082138062,1.2391810417175293,1.296751618385315,1.3548029661178589,1.3725957870483398,1.3250702619552612,1.2071540355682373,1.0091789960861206,0.8224669098854065,0.7389631271362305,-9999
-9999,0.056686025112867355,0.07994823902845383,0.150619238615036,0.28110864758491516,0.48901867866516113,0.7860536575317383,1.0955489873886108,1.2908340692520142,1.3763996362686157,1.4219050407409668,1.4892688989639282,0,0,1.6213451623916626,0,1.4183464050292969,1.2529958486557007,1.1671444177627563,-9999
-9999,0.1329098492860794,0.18119902908802032,0.31176310777664185,0.49976569414138794,0.752758800983429,1.0517476797103882,1.3045470714569092,1.4038585424423218,1.402475357055664,1.3966737985610962,1.4323049783706665,0,0,0,1.5652512311935425,1.5605859756469727,1.5204843282699585,1.458568811416626,-9999
-9999,0.2833932638168335,0.36993852257728577,0.5820364356040955,0.834054708480835,1.0857160091400146,1.3023570775985718,1.4153920412063599,1.3972471952438354,1.3256458044052124,1.2646853923797607,1.2335110902786255,0,0,0,1.1807156801223755,1.2704720497131348,1.430994987487793,1.4396454095840454,-9999
-9999,0.48070695996284485,0.6018704771995544,0.8872122764587402,1.165794014930725,1.3463588953018188,1.4246981143951416,1.4037139415740967,1.3163337707519531,1.2160189151763916,1.1318470239639282,1.0372618436813354,0.9403162002563477,0.8454727530479431,0,0,0.7643752098083496,0.9541080594062805,-9999,-9999
-9999,0.6394945383071899,0.7853492498397827,1.0991261005401611,1.3384592533111572,1.4179989099502563,1.3850164413452148,1.2937997579574585,1.1994569301605225,1.1134793758392334,0,0,0,0.6064221262931824,0,0,0.3781058192253113,0,-9999,-9999
-9999,0.7677111625671387,0.9262797832489014,1.2114330530166626,1.3894727230072021,1.3695234060287476,1.2572338581085205,1.1309672594070435,1.0429683923721313,0,0,0,0,0.4435619115829468,0.3337942957878113,0.25371113419532776,0.1984698325395584,0.15359428524971008,0,0
-9999,-9999,1.0686701536178589,1.277129888534546,1.387864112854004,1.2872003316879272,1.107422947883606,0.9576241970062256,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,1.2333811521530151,1.333909511566162,1.3611829280853271,1.1870641708374023,0.9542909860610962,0.779677152633667,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,-9999,1.351676106452942,1.3400585651397705,1.137221336364746,0.8789610862731934,0.6966938972473145,0,0,0,0,0,0,0,0,0,0,0,0

Step,97
Year,8.083302
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.007227590307593346,0.006973722483962774,-9999,-9999,0.005516275763511658,0.004828881938010454,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.006444302853196859,0.007580554112792015,0.009913667105138302,0.012297513894736767,0.014230159111320972,0.01563466526567936,0.013141855597496033,0.01119524147361517,0.01117443386465311,0.011425330303609371,0.009365525096654892,0.0069740829057991505,0.005648093763738871,0.0050215874798595905,-9999,-9999
-9999,-9999,-9999,0.006094351410865784,0.007095796521753073,0.008763614110648632,0.011608805507421494,0.015051804482936859,0.019350899383425713,0.02352498099207878,0.026543591171503067,0.026567500084638596,0.02571413479745388,0.021846359595656395,0.01669985242187977,0.011664782650768757,0.00847821868956089,0.007049025036394596,-9999,-9999
-9999,-9999,-9999,0.006528652738779783,0.007921973243355751,0.011239808984100819,0.016352644190192223,0.02380821481347084,0.03509749099612236,0.052992500364780426,0.07372181117534637,0.0851229578256607,0.08056405186653137,0.0603121854364872,0.04075907915830612,0.02501940168440342,0.01623169519007206,0.014303619973361492,-9999,-9999
-9999,-9999,0.0053739994764328,0.006869657896459103,0.009604169055819511,0.014943270944058895,0.023583583533763885,0.03804417699575424,0.06655395030975342,0.11508844047784805,0.18127615749835968,0.2212064415216446,0.21592573821544647,0.16029179096221924,0.09906791895627975,0.05729304626584053,0.03508049622178078,0.02801666595041752,0.02475563995540142,-9999
