"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Whiting

Step,61
Year,5.083313
-9999,1.984483242034912,1.9371743202209473,1.9847304821014404,1.918587565422058,1.7539291381835938,1.5627952814102173,1.398226022720337,1.2872194051742554,1.217068076133728,1.1568185091018677,1.0829955339431763,0.9927065372467041,0.8978371024131775,0.8145597577095032,0.7439384460449219,0.6913570761680603,0.6431519985198975,0.625357985496521,0.5675324201583862
-9999,-9999,1.7408099174499512,1.7639423608779907,1.6886961460113525,1.5169265270233154,1.327208399772644,1.183114767074585,1.1028214693069458,1.0458626747131348,0.9987923502922058,0.9391066431999207,0.8655802607536316,0.7714223861694336,0.6916579604148865,0.6326509118080139,0.5756298303604126,0.5382845401763916,0.5119423866271973,0.5404503345489502
-9999,-9999,1.6809028387069702,1.6131929159164429,1.5191271305084229,1.339680552482605,1.1495192050933838,1.0112818479537964,0.9376257658004761,0.8942198753356934,0.8724915981292725,0.8243868350982666,0.7570695877075195,0.6726415157318115,0.6083078384399414,0.5624682903289795,0.5221262574195862,0.5006213188171387,0.5371528267860413,0.5580313801765442
-9999,-9999,-9999,1.490875005722046,1.4280312061309814,1.2542146444320679,1.0651081800460815,0.9313603043556213,0.8645117878913879,0.8319467902183533,0.8125820159912109,0.7810724973678589,0.716764509677887,0.6363487839698792,0.569011390209198,0.5387613773345947,0.49314719438552856,0.5206415057182312,0.5522426962852478,0.5699672102928162

Step,85
Year,7.0833054
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0580294132232666,1.0342998504638672,-9999,-9999,0.9139354825019836,0.8561205863952637,-9999,-9999,-9999
-9999,-9999,-9999,-9999,1.1868542432785034,1.2632626295089722,1.397038221359253,1.4935446977615356,1.539553165435791,1.5528266429901123,1.382882833480835,1.2614620923995972,1.2406009435653687,1.2222453355789185,1.1033381223678589,0.9732522964477539,0.878714919090271,0.814089834690094,-9999,-9999
-9999,-9999,-9999,1.1186017990112305,1.206365704536438,1.3110464811325073,1.453500747680664,1.5810599327087402,1.7074658870697021,1.7978570461273193,1.8360673189163208,1.7872933149337769,1.7253085374832153,1.5700056552886963,1.3691290616989136,1.1527962684631348,0.9866539835929871,0.8965235948562622,-9999,-9999
-9999,-9999,-9999,1.100045084953308,1.1975706815719604,1.382077932357788,1.5924994945526123,1.819044828414917,2.0812935829162598,2.4139068126678467,2.711682081222534,2.8148562908172607,2.682263135910034,2.2966980934143066,1.8845289945602417,1.4828598499298096,1.1974308490753174,1.119235634803772,-9999,-9999
-9999,-9999,0.8805023431777954,1.0254838466644287,1.1945899724960327,1.4320974349975586,1.7034752368927002,2.0270400047302246,2.4984006881713867,3.0726284980773926,3.6469509601593018,3.8753111362457275,3.7417047023773193,3.188037872314453,2.5027761459350586,1.9102994203567505,1.493985652923584,1.3143458366394043,1.1639052629470825,-9999
-9999,-9999,0.8530244827270508,0.9688653945922852,1.2010937929153442,1.5038985013961792,1.8354867696762085,2.263054609298706,2.8477799892425537,3.5410757064819336,4.189483165740967,4.500564098358154,4.385917663574219,3.8551158905029297,3.1531622409820557,2.408247232437134,1.8740843534469604,1.5421862602233887,1.3970434665679932,-9999
-9999,-9999,0.8498768210411072,0.9979539513587952,1.2870967388153076,1.6434308290481567,2.0660905838012695,2.561929941177368,3.1187446117401123,3.712578773498535,4.165132999420166,4.408980369567871,4.3476080894470215,3.991858959197998,3.4407365322113037,2.803719997406006,2.26263427734375,1.8715267181396484,1.709277868270874,-9999
-9999,0.6860400438308716,0.8598734140396118,1.0879247188568115,1.4704008102416992,1.9351239204406738,2.4165198802948,2.9221296310424805,3.367953300476074,3.707335948944092,3.893909454345703,3.976486921310425,3.9530787467956543,3.7709617614746094,3.4702036380767822,3.056941509246826,2.549687623977661,2.1707658767700195,2.005960702896118,-9999
