"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Seals

Step,61
Year,5.083313
-9999,0.003251728368923068,0.0017278867308050394,0.0008284650393761694,0.00035055496846325696,0.00010808270599227399,2.462141310388688E-05,4.0894242374633905E-06,6.046223006705986E-07,2.096669788897998E-07,2.2484697126401443E-07,1.1999137541351956E-06,1.0507890692679211E-05,6.615016900468618E-05,0.0003042758326046169,0.0010320785222575068,0.0026063439436256886,0.0049500782042741776,-9999,-9999
-9999,0.0033347075805068016,0.002724176738411188,0.0015167499659582973,0.0006199583294801414,0.00018776027718558908,4.982567043043673E-05,1.1410319530114066E-05,1.9393369257159065E-06,2.4462664782731736E-07,2.2728104909219837E-07,1.0267045809086994E-06,9.083739314519335E-06,5.717940075555816E-05,0.0002625000779516995,0.0008853917242959142,0.002213098807260394,0.004087128210812807,0.00525583466514945,0.005286270286887884
-9999,-9999,0.003587600775063038,0.0019099952187389135,0.0009163063950836658,0.00038729835068807006,0.0001191535047837533,2.7110494556836784E-05,4.499090664467076E-06,5.676515684172045E-07,2.257492184298826E-07,6.328105541797413E-07,5.6081166803778615E-06,3.535118594300002E-05,0.00016008684178814292,0.0005338849732652307,0.0012963727349415421,0.0022710945922881365,0.0027684494853019714,0.002774537540972233
-9999,-9999,0.003670328063890338,0.0029641513247042894,0.0016440778272226453,0.0006705466075800359,0.0002027164155151695,4.523695315583609E-05,7.4667646003945265E-06,9.305887829214043E-07,2.300552779388454E-07,2.7956224357694737E-07,2.4744604161242023E-06,1.539376717119012E-05,6.981103797443211E-05,0.00022655540669802576,0.0005410320009104908,0.0009179469780065119,0.0010948608396574855,0.00109481206163764
-9999,-9999,-9999,0.0038314382545650005,0.002029663883149624,0.0008129748166538775,0.000243091766606085,5.391242666519247E-05,8.860190064297058E-06,1.1079827118010144E-06,2.31717649512575E-07,2.4317151314789953E-07,7.848447580727225E-07,4.795035238203127E-06,2.1589516109088436E-05,6.89944572513923E-05,0.000162235286552459,0.0002683656639419496,0.0003193295851815492,0.0003189774288330227

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Step,85
Year,7.0833054
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999
