"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Benthos

Step,61
Year,5.083313
-9999,26.010881423950195,26.574478149414062,27.645862579345703,28.839452743530273,29.970130920410156,30.912418365478516,31.614248275756836,32.11722183227539,32.46782684326172,32.67864227294922,32.745201110839844,32.68552017211914,32.585838317871094,32.45374298095703,32.24507141113281,32.011207580566406,31.76345443725586,31.59355354309082,-9999
-9999,26.549606323242188,27.205020904541016,28.375083923339844,29.593910217285156,30.664119720458984,31.511564254760742,32.15140914916992,32.6463508605957,33.01506423950195,33.26231384277344,33.36170959472656,33.342044830322266,33.28794860839844,33.192256927490234,33.033775329589844,32.781494140625,32.51068878173828,32.294429779052734,-9999
-9999,27.482507705688477,28.155616760253906,29.29071617126465,30.412607192993164,31.35257911682129,32.09720993041992,32.69861602783203,33.205047607421875,33.58781433105469,33.86299133300781,34.035457611083984,34.12104034423828,34.167137145996094,34.15165710449219,34.03791809082031,33.785255432128906,33.415958404541016,32.884239196777344,-9999
-9999,28.513254165649414,29.155288696289062,30.184520721435547,31.175884246826172,32.00625228881836,32.688541412353516,33.26987075805664,33.73937225341797,34.11418151855469,34.411136627197266,34.66560745239258,34.883087158203125,35.058837890625,35.156410217285156,35.14607238769531,35.0168342590332,34.78922653198242,-9999,-9999
-9999,29.367942810058594,30.003700256347656,30.930484771728516,31.825748443603516,32.61259078979492,33.28199005126953,33.821678161621094,34.248287200927734,34.589839935302734,34.88087844848633,35.18598556518555,35.50238037109375,35.79829406738281,36.0111083984375,36.13871383666992,36.19436264038086,36.25574493408203,-9999,-9999
-9999,29.91400146484375,30.70199203491211,31.53420066833496,32.36642837524414,33.16363525390625,33.82395553588867,34.35279083251953,34.75031280517578,35.06303024291992,35.35728454589844,35.6845703125,36.04130554199219,36.388248443603516,36.67000961303711,36.87721633911133,37.03412628173828,37.21733856201172,37.59212112426758,37.75221252441406
-9999,-9999,31.512834548950195,32.07469177246094,32.81170654296875,33.60219955444336,34.29407501220703,34.840980529785156,35.23128890991211,35.538822174072266,35.82355499267578,36.1431884765625,36.496299743652344,36.855316162109375,37.152374267578125,37.371177673339844,37.54122543334961,37.682647705078125,37.82199478149414,37.866615295410156
-9999,-9999,31.95549964904785,32.481571197509766,33.153133392333984,33.941986083984375,34.67470932006836,35.256473541259766,35.657493591308594,35.952938079833984,36.209632873535156,36.50819396972656,36.84846878051758,37.196022033691406,37.47978973388672,37.68524169921875,37.835289001464844,37.921913146972656,37.94583511352539,37.94881820678711
-9999,-9999,-9999,32.84326934814453,33.38262176513672,34.13169860839844,34.881370544433594,35.480140686035156,35.88249969482422,36.167476654052734,36.4124641418457,36.688255310058594,37.01910400390625,37.36061477661133,37.64396286010742,37.83634948730469,37.97871398925781,38.01602554321289,38.01108932495117,38.002864837646484

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.427154541015625,27.426498413085938,-9999,-9999,27.42658233642578,27.488906860351562,-9999,-9999,-9999
-9999,-9999,-9999,-9999,27.448043823242188,27.3659610748291,27.241518020629883,27.153491973876953,27.117345809936523,27.1265811920166,27.209938049316406,27.279142379760742,27.247955322265625,27.160551071166992,27.185523986816406,27.29926300048828,27.3806209564209,27.400657653808594,-9999,-9999
