"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Phytoplankton

Step,61
Year,5.083313
-9999,17.89019203186035,17.67860221862793,17.48134994506836,17.316421508789062,17.241016387939453,17.20880126953125,17.206003189086914,17.202037811279297,17.194734573364258,17.201457977294922,17.22496223449707,17.261066436767578,17.300243377685547,17.333879470825195,17.364463806152344,17.388362884521484,17.413684844970703,17.377681732177734,17.405845642089844
-9999,-9999,17.502471923828125,17.388885498046875,17.27630043029785,17.231660842895508,17.22709083557129,17.23271942138672,17.224348068237305,17.22967529296875,17.238855361938477,17.259931564331055,17.286375045776367,17.327219009399414,17.358129501342773,17.377897262573242,17.40155792236328,17.416675567626953,17.429590225219727,17.405654907226562
-9999,-9999,17.43048858642578,17.32773780822754,17.25612449645996,17.242446899414062,17.259191513061523,17.27646827697754,17.277542114257812,17.281612396240234,17.277263641357422,17.296602249145508,17.322532653808594,17.35723304748535,17.37727165222168,17.390586853027344,17.405118942260742,17.417770385742188,17.395830154418945,17.38875389099121
-9999,-9999,-9999,17.2747802734375,17.240520477294922,17.24125099182129,17.27126121520996,17.292762756347656,17.292890548706055,17.293212890625,17.29377555847168,17.301340103149414,17.32822036743164,17.36098289489746,17.385988235473633,17.38906478881836,17.413721084594727,17.39678192138672,17.38736915588379,17.38408088684082

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.999656677246094,19.00993537902832,-9999,-9999,18.985544204711914,18.991050720214844,-9999,-9999,-9999
-9999,-9999,-9999,-9999,18.98070526123047,18.989303588867188,18.987625122070312,18.993375778198242,18.998369216918945,18.98329734802246,19.022666931152344,19.010194778442383,19.00748634338379,19.03823471069336,19.0523624420166,19.029794692993164,19.022701263427734,19.038061141967773,-9999,-9999
-9999,-9999,-9999,18.999910354614258,18.97979736328125,18.976449966430664,18.96648597717285,18.955846786499023,18.928110122680664,18.904186248779297,18.87649917602539,18.878652572631836,18.89596939086914,18.94961929321289,18.993350982666016,19.027381896972656,19.059967041015625,19.09297752380371,-9999,-9999
-9999,-9999,-9999,19.021343231201172,18.999210357666016,18.94707679748535,18.891937255859375,18.823612213134766,18.747957229614258,18.650508880615234,18.561124801635742,18.52884864807129,18.566131591796875,18.679336547851562,18.80336570739746,18.93951416015625,19.062374114990234,19.107404708862305,-9999,-9999
-9999,-9999,19.10704803466797,19.05388832092285,18.992109298706055,18.90038299560547,18.84940528869629,18.714860916137695,18.548141479492188,18.367023468017578,18.200027465820312,18.132505416870117,18.16849708557129,18.32766342163086,18.553131103515625,18.79242515563965,18.9428768157959,19.0859317779541,19.213138580322266,-9999
-9999,-9999,19.154239654541016,19.091753005981445,18.97353172302246,18.88361358642578,18.70648765563965,18.506067276000977,18.27886962890625,18.045364379882812,17.841846466064453,17.73969078063965,17.768451690673828,17.92918586730957,18.16143035888672,18.467466354370117,18.69557762145996,18.92917251586914,19.057945251464844,-9999
-9999,-9999,19.23080825805664,19.109176635742188,18.992305755615234,18.774934768676758,18.5302791595459,18.2768611907959,18.027835845947266,17.792011260986328,17.61410140991211,17.514019012451172,17.524410247802734,17.646263122558594,17.855253219604492,18.129161834716797,18.417617797851562,18.624774932861328,18.772001266479492,-9999
-9999,19.538448333740234,19.336063385009766,19.188058853149414,18.904870986938477,18.602643966674805,18.305702209472656,18.018741607666016,17.771743774414062,17.578323364257812,17.453310012817383,17.38681411743164,17.38170623779297,17.4549503326416,17.596460342407227,17.79633140563965,18.06478500366211,18.303340911865234,18.400833129882812,-9999
-9999,19.615257263183594,19.419404983520508,19.148935317993164,18.76277732849121,18.389366149902344,18.043872833251953,17.748437881469727,17.52888298034668,17.39023780822754,17.320375442504883,17.286067962646484,17.283710479736328,17.31829261779785,17.403186798095703,17.531211853027344,17.741716384887695,17.931652069091797,18.015544891357422,-9999
-9999,19.643253326416016,19.418243408203125,19.04443359375,18.587324142456055,18.16907501220703,17.8057918548584,17.522972106933594,17.342819213867188,17.24919319152832,17.20787811279297,17.190128326416016,17.18490219116211,17.20168113708496,17.25049591064453,17.337068557739258,17.46929168701172,17.59220314025879,17.672344207763672,-9999
-9999,19.561710357666016,19.265249252319336,18.82809066772461,18.347930908203125,17.940732955932617,17.608774185180664,17.370153427124023,17.23729133605957,17.1789493560791,17.151254653930664,17.131759643554688,17.095531463623047,17.0968017578125,17.13727378845215,17.16415023803711,17.25836944580078,17.34314727783203,17.402929306030273,-9999
-9999,19.242733001708984,18.916353225708008,18.488380432128906,18.05280876159668,17.70700454711914,17.4437198638916,17.270299911499023,17.190855026245117,17.164485931396484,17.15391731262207,17.13977813720703,17.105180740356445,17.099428176879883,17.101062774658203,17.12877655029297,17.147768020629883,17.18467140197754,17.236780166625977,-9999
-9999,18.76600456237793,18.480205535888672,18.112106323242188,17.75288963317871,17.489471435546875,17.30960464477539,17.207988739013672,17.174449920654297,17.17172622680664,17.175031661987305,17.17493438720703,17.162307739257812,17.167959213256836,17.178150177001953,17.187999725341797,17.168231964111328,17.125778198242188,17.212261199951172,-9999
-9999,18.34257698059082,18.107152938842773,17.80602264404297,17.52518081665039,17.339412689208984,17.232227325439453,17.185020446777344,17.176366806030273,17.183521270751953,17.18922233581543,17.203369140625,17.221149444580078,17.24089813232422,17.257814407348633,17.265451431274414,17.267250061035156,17.1612606048584,-9999,-9999
-9999,18.054502487182617,17.852476119995117,17.609657287597656,17.39407730102539,17.269405364990234,17.207849502563477,17.189424514770508,17.184701919555664,17.186717987060547,17.179162979125977,17.198463439941406,17.23179817199707,17.277450561523438,17.302978515625,17.330331802368164,17.34800910949707,17.425674438476562,-9999,-9999
-9999,17.89715003967285,17.685205459594727,17.48894691467285,17.3240909576416,17.247819900512695,17.214580535888672,17.210796356201172,17.205965042114258,17.197500228881836,17.20362663269043,17.22676658630371,17.262611389160156,17.301937103271484,17.335433959960938,17.365978240966797,17.38991355895996,17.415193557739258,17.379610061645508,17.407684326171875
-9999,-9999,17.50908660888672,17.396663665771484,17.284107208251953,17.238222122192383,17.232236862182617,17.236631393432617,17.227025985717773,17.231687545776367,17.240476608276367,17.261266708374023,17.287532806396484,17.328224182128906,17.359102249145508,17.378978729248047,17.40274429321289,17.418045043945312,17.431058883666992,17.407299041748047
-9999,-9999,17.43844223022461,17.33565330505371,17.263818740844727,17.24858856201172,17.263591766357422,17.279516220092773,17.279376983642578,17.28297233581543,17.278480529785156,17.297588348388672,17.323362350463867,17.357942581176758,17.378040313720703,17.391592025756836,17.40619659423828,17.418920516967773,17.397184371948242,17.390178680419922
-9999,-9999,-9999,17.28240394592285,17.24810028076172,17.247255325317383,17.275346755981445,17.295509338378906,17.294517517089844,17.29446029663086,17.294849395751953,17.302276611328125,17.328998565673828,17.361713409423828,17.38678741455078,17.390005111694336,17.414669036865234,17.39789581298828,17.388601303100586,17.38534164428711

Step,85
Year,7.0833054
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.997400283813477,19.00802993774414,-9999,-9999,18.98762321472168,18.993478775024414,-9999,-9999,-9999
-9999,-9999,-9999,-9999,18.97733497619629,18.98513412475586,18.982362747192383,18.98731803894043,18.991962432861328,18.976842880249023,19.01729393005371,19.006484985351562,19.004657745361328,19.03618621826172,19.05155372619629,19.030548095703125,19.02421760559082,19.03972816467285,-9999,-9999
-9999,-9999,-9999,18.996482849121094,18.975814819335938,18.9716854095459,18.960729598999023,18.94940185546875,18.921058654785156,18.8973388671875,18.87038803100586,18.87361717224121,18.89192008972168,18.946571350097656,18.991519927978516,19.02669906616211,19.060020446777344,19.0932559967041,-9999,-9999
-9999,-9999,-9999,19.017183303833008,18.994487762451172,18.941511154174805,18.885446548461914,18.81668472290039,18.741090774536133,18.644275665283203,18.555999755859375,18.524839401245117,18.562908172607422,18.676546096801758,18.801042556762695,18.937652587890625,19.060531616210938,19.105361938476562,-9999,-9999
-9999,-9999,19.102785110473633,19.049087524414062,18.986621856689453,18.894451141357422,18.842893600463867,18.70842170715332,18.542396545410156,18.362693786621094,18.197690963745117,18.131576538085938,18.16816520690918,18.32694435119629,18.551809310913086,18.79050636291504,18.93985366821289,19.0817928314209,19.2076358795166,-9999
