"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Anchovy

Step,61
Year,5.083313
-9999,15.625805854797363,14.68581771850586,12.246214866638184,10.001928329467773,7.657378196716309,5.355498313903809,3.444164752960205,2.2103841304779053,1.5426543951034546,1.2221695184707642,1.0890172719955444,1.081751823425293,1.2073248624801636,1.519075870513916,2.1017141342163086,2.9636943340301514,4.017291069030762,4.652389049530029,-9999
-9999,15.636868476867676,14.369874000549316,11.409453392028809,8.755717277526855,6.254269123077393,3.997328996658325,2.3103561401367188,1.3379607200622559,0.8531292676925659,0.6411953568458557,0.551390528678894,0.5415143370628357,0.5882748961448669,0.7241745591163635,1.0195579528808594,1.5214108228683472,2.153604507446289,2.521648645401001,-9999
-9999,14.475128173828125,12.922266006469727,9.675064086914062,6.993199825286865,4.700427055358887,2.8282723426818848,1.51337468624115,0.7929657101631165,0.46748459339141846,0.3021562397480011,0.2378029227256775,0.21545279026031494,0.22226625680923462,0.26947736740112305,0.37708142399787903,0.6183835864067078,0.9441983699798584,1.1651785373687744,-9999
-9999,12.158310890197754,10.497979164123535,7.341823577880859,4.902673721313477,3.0958003997802734,1.7858054637908936,0.9286866188049316,0.45277824997901917,0.25358009338378906,0.16058120131492615,0.11699368059635162,0.09596668928861618,0.08985330164432526,0.09604280441999435,0.1236550584435463,0.18928410112857819,0.3327268958091736,0.4686766266822815,-9999
-9999,9.652359008789062,8.07775592803955,5.210812568664551,3.1310229301452637,1.828967571258545,1.0149855613708496,0.512482225894928,0.26837536692619324,0.15344557166099548,0.098048634827137,0.06824959814548492,0.05230540782213211,0.04477199912071228,0.04174494370818138,0.04543178528547287,0.05691324174404144,0.09112634509801865,-9999,-9999
-9999,7.877109050750732,6.375608444213867,3.818953514099121,2.079782724380493,1.0880975723266602,0.5619670152664185,0.29561203718185425,0.1674625277519226,0.10136651247739792,0.0670778900384903,0.046960581094026566,0.03755038231611252,0.041036367416381836,0.04548110440373421,0.05028300732374191,0.054870784282684326,0.05850262939929962,-9999,-9999
-9999,6.681582927703857,5.148190498352051,2.99855899810791,1.513866662979126,0.6778407096862793,0.338222861289978,0.17905989289283752,0.10516273975372314,0.06668373942375183,0.04601462557911873,0.04069765657186508,0.04351688176393509,0.047768108546733856,0.0529777966439724,0.058696676045656204,0.06472896039485931,0.07158683985471725,0.082082599401474,0.08696787059307098
-9999,-9999,3.8655099868774414,2.4080631732940674,1.1707113981246948,0.4906642436981201,0.2253601849079132,0.1160944402217865,0.06824836134910583,0.045274194329977036,0.044492997229099274,0.04596098139882088,0.04934848099946976,0.05424637347459793,0.06008237972855568,0.06635770201683044,0.07279197871685028,0.07921750843524933,0.08543683588504791,0.08864738047122955
-9999,-9999,2.7333016395568848,1.8775932788848877,0.9259754419326782,0.36932995915412903,0.1591103971004486,0.07806076109409332,0.05132467299699783,0.04871513694524765,0.04838089644908905,0.05024166777729988,0.054044730961322784,0.05936971306800842,0.06556010246276855,0.07202563434839249,0.07831776142120361,0.08385144174098969,0.08803703635931015,0.09023116528987885
-9999,-9999,-9999,1.5256822109222412,0.7857040166854858,0.3205183446407318,0.13394363224506378,0.06412069499492645,0.052984144538640976,0.05066712945699692,0.05055977404117584,0.052597805857658386,0.05660878121852875,0.062144070863723755,0.06850612908601761,0.07498536258935928,0.08111510425806046,0.08599961549043655,0.08941671252250671,0.09117377549409866
