"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Shrimpers

Step,61
Year,5.083313
-9999,1.3519407510757446,1.3412050008773804,1.2772222757339478,1.1257387399673462,0.8908350467681885,0.6213577389717102,0.38868868350982666,0.24046966433525085,0.16204899549484253,0.12481231242418289,0.10946214944124222,0.10891006141901016,0.123787522315979,0.16005730628967285,0.22679084539413452,0.3194257318973541,0.4204675257205963,0.47619661688804626,-9999
-9999,1.3265312910079956,1.28682279586792,1.1580371856689453,0.9496450424194336,0.6936520338058472,0.4378719925880432,0.24525153636932373,0.13771583139896393,0.08587292581796646,0.06343215703964233,0.054268866777420044,0,0,0.07349986582994461,0,0.15533886849880219,0.21373067796230316,0.24643386900424957,-9999
-9999,1.217404842376709,1.1376776695251465,0.9485011696815491,0.723162055015564,0.4934634864330292,0.29338300228118896,0.15327036380767822,0.07858677953481674,0.04580175131559372,0.028314605355262756,0.022290626540780067,0,0,0,0.03636381775140762,0.06124410405755043,0.09050220996141434,0.10916038602590561,-9999
-9999,1.0144609212875366,0.9063307642936707,0.6888302564620972,0.47805508971214294,0.30585941672325134,0.1760142594575882,0.09035896509885788,0.04230364039540291,0.024049971252679825,0.015831060707569122,0.012260309420526028,0,0,0,0.013529333285987377,0.01948060840368271,0.03142016381025314,0.04073983430862427,-9999
-9999,0.7987257242202759,0.6839900612831116,0.4681142568588257,0.2887067198753357,0.1713239997625351,0.0957806333899498,0.04732542112469673,0.02541143074631691,0.015807682648301125,0.011450760066509247,0.009208070114254951,0.00805677380412817,0.007614200934767723,0,0,0.00915970653295517,0.01316380687057972,-9999,-9999
-9999,0.6487466096878052,0.5337963700294495,0.3340104818344116,0.1855589896440506,0.09852955490350723,0.050643060356378555,0.02776365913450718,0.017383087426424026,0.012324842624366283,0,0,0,0.009373405016958714,0,0,0.012483618222177029,0,-9999,-9999
-9999,0.5488048195838928,0.43009719252586365,0.2603149116039276,0.1339247226715088,0.059545181691646576,0.031034888699650764,0.018316254019737244,0.012760387733578682,0,0,0,0,0.012794023379683495,0.014475624077022076,0.015936417505145073,0.017223285511136055,0.01871318742632866,0,0
-9999,-9999,0.32705259323120117,0.21021580696105957,0.10465136170387268,0.044034574180841446,0.02204156666994095,0.01345806010067463,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,0.23156529664993286,0.1629355251789093,0.0833665281534195,0.034203313291072845,0.016733264550566673,0.010303669609129429,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,-9999,0.13403697311878204,0.06977983564138412,0.030164625495672226,0.014720493927598,0.009166461415588856,0,0,0,0,0,0,0,0,0,0,0,0

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.1996374130249023,1.1986942291259766,-9999,-9999,1.2368991374969482,1.2240148782730103,-9999,-9999,-9999
-9999,-9999,-9999,-9999,1.2032363414764404,1.210231900215149,1.2217024564743042,1.222563624382019,1.2188096046447754,1.219238519668579,1.206386685371399,1.2142714262008667,1.2267305850982666,1.236642837524414,1.2405691146850586,1.2421506643295288,1.2327749729156494,1.2219326496124268,-9999,-9999
-9999,-9999,-9999,1.2166024446487427,1.2228947877883911,1.2286559343338013,1.2342040538787842,1.2325283288955688,1.2308011054992676,1.2263681888580322,1.2263147830963135,1.233006477355957,1.2454456090927124,1.2561298608779907,1.2677911520004272,1.2709439992904663,1.2605658769607544,1.2488389015197754,-9999,-9999
-9999,-9999,-9999,1.2316200733184814,1.2397239208221436,1.2538981437683105,1.255946159362793,1.248574137687683,1.225718379020691,1.1887460947036743,1.1516406536102295,1.1372991800308228,1.1569139957427979,1.2043966054916382,1.2565230131149292,1.2849324941635132,1.2884353399276733,1.2957860231399536,-9999,-9999
-9999,-9999,1.236371397972107,1.2498314380645752,1.2640446424484253,1.2721459865570068,1.2607107162475586,1.2249479293823242,1.1526978015899658,1.0465115308761597,0.9366103410720825,0.8830000162124634,0.90556800365448,1.006123423576355,1.1364963054656982,1.2302696704864502,1.2824221849441528,1.2999138832092285,1.2865474224090576,-9999
