"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Detritus

Step,61
Year,5.083313
-9999,-9999,-9999,10.284643173217773,10.33368968963623,10.3731050491333,10.393603324890137,10.393177032470703,10.375528335571289,10.360139846801758,10.346920013427734,10.339776992797852,10.345417022705078,10.356035232543945,10.362601280212402,10.358092308044434,10.367670059204102,10.353737831115723,10.343631744384766,10.339325904846191

Step,85
Year,7.0833054
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.057710647583008,10.06213092803955,-9999,-9999,9.971137046813965,9.99266529083252,-9999,-9999,-9999
-9999,-9999,-9999,-9999,9.981966972351074,9.983712196350098,9.976421356201172,9.989236831665039,10.008731842041016,10.013948440551758,10.062430381774902,10.047283172607422,10.025284767150879,10.021395683288574,10.019365310668945,9.997820854187012,10.003989219665527,10.025343894958496,-9999,-9999
-9999,-9999,-9999,9.966699600219727,9.963465690612793,9.975024223327637,9.988103866577148,10.004098892211914,10.00329303741455,9.997017860412598,9.981708526611328,9.967947959899902,9.955782890319824,9.96918773651123,9.975744247436523,9.97982406616211,9.99225902557373,10.009461402893066,-9999,-9999
-9999,-9999,-9999,9.968274116516113,9.978536605834961,9.989975929260254,10.024405479431152,10.031684875488281,10.018903732299805,9.985177993774414,9.947426795959473,9.92620849609375,9.923507690429688,9.947608947753906,9.964680671691895,9.982665061950684,9.978482246398926,9.947834968566895,-9999,-9999
-9999,-9999,9.9860200881958,9.980874061584473,10.007368087768555,10.068584442138672,10.186731338500977,10.19568920135498,10.159004211425781,10.113869667053223,10.074390411376953,10.06125545501709,10.062121391296387,10.084845542907715,10.10997200012207,10.108627319335938,9.99039077758789,9.94416618347168,9.984180450439453,-9999
-9999,-9999,10.001069068908691,10.025079727172852,10.07713508605957,10.200568199157715,10.241414070129395,10.229743957519531,10.197047233581543,10.167216300964355,10.142594337463379,10.131948471069336,10.136159896850586,10.151254653930664,10.151976585388184,10.13646125793457,10.009048461914062,9.949912071228027,9.936595916748047,-9999
-9999,-9999,9.99690055847168,10.061668395996094,10.188638687133789,10.228925704956055,10.228124618530273,10.216118812561035,10.208722114562988,10.20216178894043,10.198112487792969,10.193039894104004,10.195816040039062,10.203388214111328,10.20168685913086,10.18059253692627,10.11650276184082,9.994909286499023,9.937211990356445,-9999
-9999,9.93126106262207,9.956028938293457,10.139396667480469,10.18818473815918,10.191801071166992,10.195905685424805,10.20439624786377,10.218497276306152,10.230794906616211,10.240616798400879,10.244565963745117,10.244759559631348,10.245980262756348,10.23878288269043,10.21342658996582,10.183167457580566,10.116644859313965,10.010303497314453,-9999
-9999,9.858563423156738,9.904963493347168,10.097077369689941,10.140256881713867,10.161194801330566,10.186863899230957,10.215083122253418,10.238840103149414,10.256918907165527,10.2717924118042,10.279191017150879,10.28072452545166,10.278177261352539,10.270753860473633,10.247661590576172,10.230371475219727,10.180978775024414,10.101221084594727,-9999
-9999,9.754199981689453,9.821487426757812,10.03647232055664,10.113790512084961,10.161776542663574,10.206060409545898,10.242377281188965,10.26662540435791,10.282784461975098,10.292755126953125,10.296501159667969,10.293916702270508,10.292037963867188,10.290307998657227,10.28078556060791,10.266566276550293,10.223477363586426,10.19214153289795,-9999
-9999,9.6689453125,9.754612922668457,10.00100040435791,10.110749244689941,10.17905044555664,10.232912063598633,10.271036148071289,10.295743942260742,10.31130313873291,10.315279960632324,10.309797286987305,10.286599159240723,10.282693862915039,10.294485092163086,10.28252124786377,10.287626266479492,10.272379875183105,10.268355369567871,-9999
-9999,9.654189109802246,9.759366035461426,10.017770767211914,10.139402389526367,10.209771156311035,10.258478164672852,10.293479919433594,10.320613861083984,10.336612701416016,10.341808319091797,10.334858894348145,10.311590194702148,10.306340217590332,10.305710792541504,10.314125061035156,10.305298805236816,10.297266006469727,10.315104484558105,-9999
-9999,9.743319511413574,9.853168487548828,10.088038444519043,10.198471069335938,10.252584457397461,10.285489082336426,10.311690330505371,10.335597038269043,10.349590301513672,10.35444450378418,10.35225772857666,10.341376304626465,10.343701362609863,10.35106086730957,10.358309745788574,10.342719078063965,10.30931282043457,10.3670015335083,-9999
-9999,9.867535591125488,9.966425895690918,10.166705131530762,10.260599136352539,10.297613143920898,10.315467834472656,10.330705642700195,10.342703819274902,10.349641799926758,10.349163055419922,10.352448463439941,10.358658790588379,10.368669509887695,10.378990173339844,10.386159896850586,10.386444091796875,10.323192596435547,-9999,-9999
-9999,9.953099250793457,10.043081283569336,10.21685791015625,10.299610137939453,10.332077980041504,10.340240478515625,10.34450626373291,10.342204093933105,10.337109565734863,10.324252128601074,10.32800579071045,10.342069625854492,10.365079879760742,10.378660202026367,10.395692825317383,10.409496307373047,10.45292854309082,-9999,-9999
-9999,10.014792442321777,10.10047435760498,10.24168586730957,10.316747665405273,10.354081153869629,10.35816478729248,10.356220245361328,10.344675064086914,10.32883071899414,10.321464538574219,10.325571060180664,10.338794708251953,10.356664657592773,10.372721672058105,10.389238357543945,10.40280818939209,10.412588119506836,10.370302200317383,10.37717342376709
-9999,-9999,10.162017822265625,10.255900382995605,10.324200630187988,10.361137390136719,10.37055778503418,10.365985870361328,10.347251892089844,10.336764335632324,10.329584121704102,10.331106185913086,10.337636947631836,10.35432243347168,10.366945266723633,10.375232696533203,10.386933326721191,10.392385482788086,10.389381408691406,10.371095657348633
-9999,-9999,10.238122940063477,10.277700424194336,10.333877563476562,10.373480796813965,10.388473510742188,10.386569023132324,10.370528221130371,10.357789993286133,10.342596054077148,10.342386245727539,10.347963333129883,10.360137939453125,10.365189552307129,10.367666244506836,10.373152732849121,10.376258850097656,10.358991622924805,10.351011276245117
-9999,-9999,-9999,10.286276817321777,10.335509300231934,10.374069213867188,10.393507957458496,10.39255142211914,10.374628067016602,10.359454154968262,10.346545219421387,10.339619636535645,10.345403671264648,10.356226921081543,10.363151550292969,10.358972549438477,10.368793487548828,10.355182647705078,10.345290184020996,10.341078758239746

Step,97
Year,8.083302
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.056842803955078,10.0612211227417,-9999,-9999,9.970004081726074,9.991657257080078,-9999,-9999,-9999
-9999,-9999,-9999,-9999,9.981949806213379,9.983583450317383,9.976181030273438,9.988946914672852,10.008328437805176,10.013294219970703,10.06156063079834,10.046136856079102,10.023945808410645,10.0198974609375,10.017863273620605,9.996454238891602,10.00281810760498,10.024340629577637,-9999,-9999
-9999,-9999,-9999,9.966736793518066,9.963314056396484,9.974686622619629,9.987578392028809,10.003457069396973,10.002389907836914,9.995924949645996,9.980320930480957,9.966218948364258,9.953850746154785,9.967182159423828,9.973731994628906,9.977984428405762,9.990734100341797,10.008195877075195,-9999,-9999
-9999,-9999,-9999,9.968271255493164,9.978285789489746,9.989341735839844,10.023313522338867,10.030423164367676,10.017571449279785,9.983823776245117,9.946017265319824,9.9246244430542,9.921676635742188,9.945487976074219,9.962447166442871,9.980561256408691,9.976604461669922,9.94627571105957,-9999,-9999
-9999,-9999,9.986433029174805,9.980937957763672,10.006998062133789,10.067682266235352,10.185195922851562,10.194000244140625,10.157424926757812,10.112651824951172,10.073737144470215,10.060830116271973,10.061561584472656,10.083675384521484,10.108282089233398,10.10684871673584,9.988600730895996,9.942800521850586,9.983012199401855,-9999
-9999,-9999,10.001452445983887,10.02513599395752,10.076606750488281,10.199220657348633,10.239672660827637,10.227904319763184,10.195440292358398,10.166309356689453,10.142670631408691,10.132678031921387,10.136812210083008,10.151124000549316,10.150872230529785,10.13505744934082,10.007492065429688,9.948615074157715,9.935569763183594,-9999
-9999,-9999,9.997159957885742,10.061518669128418,10.187822341918945,10.227441787719727,10.226329803466797,10.21430778503418,10.20727825164795,10.201516151428223,10.198272705078125,10.193840026855469,10.196688652038574,10.203781127929688,10.201370239257812,10.179811477661133,10.115642547607422,9.993967056274414,9.936426162719727,-9999
-9999,9.931532859802246,9.95604419708252,10.138877868652344,10.187090873718262,10.190336227416992,10.194276809692383,10.203017234802246,10.217617988586426,10.230491638183594,10.24071216583252,10.244996070861816,10.245434761047363,10.246562004089355,10.239090919494629,10.213142395019531,10.182976722717285,10.116427421569824,10.010021209716797,-9999
-9999,9.85838794708252,9.904520034790039,10.096220016479492,10.13908863067627,10.159975051879883,10.1858491897583,10.214615821838379,10.238905906677246,10.257237434387207,10.272052764892578,10.279502868652344,10.281196594238281,10.278895378112793,10.271559715270996,10.248159408569336,10.231011390686035,10.18156623840332,10.101765632629395,-9999
-9999,9.753386497497559,9.820469856262207,10.035310745239258,10.112510681152344,10.160653114318848,10.205575942993164,10.242769241333008,10.267484664916992,10.283658981323242,10.293466567993164,10.29713249206543,10.294597625732422,10.293050765991211,10.291812896728516,10.282522201538086,10.268542289733887,10.225282669067383,10.194011688232422,-9999
-9999,9.66770076751709,9.75319766998291,9.999655723571777,10.10944938659668,10.1780366897583,10.232754707336426,10.271757125854492,10.296733856201172,10.312185287475586,10.316018104553223,10.310478210449219,10.28691577911377,10.283402442932129,10.296351432800293,10.284933090209961,10.29100227355957,10.27591323852539,10.271984100341797,-9999
-9999,9.652700424194336,9.757857322692871,10.016770362854004,10.138510704040527,10.209184646606445,10.25861930847168,10.294225692749023,10.321319580078125,10.337028503417969,10.342081069946289,10.335115432739258,10.311502456665039,10.306622505187988,10.30700397491455,10.317087173461914,10.309624671936035,10.302199363708496,10.319923400878906,-9999
-9999,9.742112159729004,9.852155685424805,10.087943077087402,10.198600769042969,10.252908706665039,10.286089897155762,10.312348365783691,10.335927963256836,10.349589347839355,10.354310989379883,10.35212516784668,10.340978622436523,10.343622207641602,10.351700782775879,10.360563278198242,10.346650123596191,10.314699172973633,10.371838569641113,-9999
