"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Seiners

Step,61
Year,5.083313
-9999,0,0,4.027027130126953,3.257411479949951,2.565291404724121,1.9427393674850464,1.4460606575012207,1.1283087730407715,0.9560913443565369,0.874475359916687,0.8444675803184509,0.851620614528656,0.8989199995994568,1.001696228981018,1.1847193241119385,1.4590755701065063,0,0,-9999
-9999,0,0,3.7563273906707764,2.911513328552246,2.196503162384033,1.593012809753418,1.1536647081375122,0.8996060490608215,0.7712981700897217,0.7151781320571899,0.6944494843482971,0.3106956481933594,0.4026198983192444,0.7812674641609192,0.19760042428970337,1.0670192241668701,0,0,-9999
-9999,0,0,3.288882255554199,2.4599809646606445,1.806051254272461,1.2987420558929443,0.9497115612030029,0.7564094066619873,0.6661196947097778,0.6210839152336121,0.6055811643600464,0.4038497805595398,0.5507135987281799,0.43425846099853516,0.7093353867530823,0.8161545395851135,0,0,-9999
-9999,0,0,2.6857082843780518,1.9382630586624146,1.4101821184158325,1.0401710271835327,0.8011277914047241,0.6666660308837891,0.6063209176063538,0.577854573726654,0.566569983959198,0.2514878809452057,0.44681963324546814,0.3955738842487335,0.6276218295097351,0.6871784925460815,0,0,-9999
-9999,0,0,2.1314568519592285,1.4931875467300415,1.0958698987960815,0.8482264280319214,0.6953554153442383,0.6160311102867126,0.5758500695228577,0.5560821294784546,0.5475077629089355,0.5469058752059937,0.5532588362693787,0.3777807950973511,0.32766640186309814,0.6269289255142212,0,-9999,-9999
-9999,0,0,1.7549182176589966,1.218825101852417,0.9064272046089172,0.7326772212982178,0.6376171708106995,0.5867363810539246,0.5585253834724426,0.3624594807624817,0.4176081120967865,0.05964938923716545,0.5439140200614929,0.24703870713710785,0.2549591660499573,0.5992280840873718,0.0892140194773674,-9999,-9999
-9999,0,0,1.5205795764923096,1.0621943473815918,0.7971241474151611,0.6719823479652405,0.6047354340553284,0.5679411292076111,0.3645196557044983,0.47573092579841614,0.5314833521842957,0.4147985875606537,0.538855791091919,0.5480427742004395,0.561129629611969,0.57860267162323,0.5956071615219116,0.4254378080368042,0.5963479280471802
-9999,-9999,0,1.3435475826263428,0.962664783000946,0.7424737215042114,0.6390723586082458,0.5858477354049683,0.30909353494644165,0.47944891452789307,0.5325000286102295,0.5300301313400269,0.47217825055122375,0.41649124026298523,0.36164289712905884,0.3678601086139679,0.375265508890152,0.44642025232315063,0.5148934125900269,0.5811349153518677
-9999,-9999,0,0,0.8972392678260803,0.7076637148857117,0.6194160580635071,0.5743207335472107,0.36708611249923706,0.5387652516365051,0.5320296287536621,0.5294032096862793,0.5301077961921692,0.5335090756416321,0.5389774441719055,0.545917809009552,0.5535476207733154,0.5604483485221863,0.5646753907203674,0.566543459892273
-9999,-9999,-9999,0,0.8562831878662109,0.6922374367713928,0.61129230260849,0.5697237849235535,0.3667517304420471,0.5385370850563049,0.5318807363510132,0.5291571021080017,0.5296201109886169,0.532573401927948,0.5373088717460632,0.5431210994720459,0.5492658615112305,0.5545582175254822,0.5581102967262268,0.5598214268684387

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
